month,revenue,prev_month_revenue,mom_growth_percentage,performance_status
2019-05,17653145.23,NULL,NULL,N/A
2019-06,23885179.43,17653145.23,35.30,Growth
2019-07,24771559.16,23885179.43,3.71,Growth
2019-08,25397958.53,24771559.16,2.53,Growth
2019-09,23334079.82,25397958.53,-8.13,Decline
2019-10,26276190.71,23334079.82,12.61,Growth
2019-11,24784507.53,26276190.71,-5.68,Decline
2019-12,23746704.51,24784507.53,-4.19,Decline
2020-01,24371975.06,23746704.51,2.63,Growth
2020-02,22324346.57,24371975.06,-8.40,Decline
2020-03,23907855.10,22324346.57,7.09,Growth
2020-04,23129509.16,23907855.10,-3.26,Decline
2020-05,24967566.18,23129509.16,7.95,Growth
2020-06,24303521.23,24967566.18,-2.66,Decline
2020-07,24993721.67,24303521.23,2.84,Growth
2020-08,25817225.23,24993721.67,3.29,Growth
2020-09,22422187.34,25817225.23,-13.15,Decline
2020-10,24103665.20,22422187.34,7.50,Growth
2020-11,22884322.22,24103665.20,-5.06,Decline
2020-12,23325694.46,22884322.22,1.93,Growth
2021-01,23805040.61,23325694.46,2.06,Growth
2021-02,21374503.70,23805040.61,-10.21,Decline
2021-03,25115153.46,21374503.70,17.50,Growth
2021-04,22433411.36,25115153.46,-10.68,Decline
2021-05,22623113.42,22433411.36,0.85,Growth
2021-06,24141633.97,22623113.42,6.71,Growth
2021-07,25244593.37,24141633.97,4.57,Growth
2021-08,22766134.30,25244593.37,-9.82,Decline
2021-09,21752819.03,22766134.30,-4.45,Decline
2021-10,23826642.31,21752819.03,9.53,Growth
2021-11,23277657.20,23826642.31,-2.30,Decline
2021-12,23795178.19,23277657.20,2.22,Growth
2022-01,24734060.09,23795178.19,3.95,Growth
2022-02,19198491.64,24734060.09,-22.38,Decline
2022-03,24178416.61,19198491.64,25.94,Growth
2022-04,22566176.27,24178416.61,-6.67,Decline
2022-05,22867490.32,22566176.27,1.34,Growth
2022-06,24528879.87,22867490.32,7.27,Growth
2022-07,24611701.84,24528879.87,0.34,Growth
2022-08,23854033.82,24611701.84,-3.08,Decline
2022-09,23556814.09,23854033.82,-1.25,Decline
2022-10,23354426.22,23556814.09,-0.86,Decline
2022-11,23489912.30,23354426.22,0.58,Growth
2022-12,24141934.21,23489912.30,2.78,Growth
2023-01,24180251.12,24141934.21,0.16,Growth
2023-02,22457229.87,24180251.12,-7.13,Decline
2023-03,22466806.12,22457229.87,0.04,Growth
2023-04,22914696.03,22466806.12,1.99,Growth
2023-05,22905424.68,22914696.03,-0.04,Decline
2023-06,25037533.70,22905424.68,9.31,Growth
2023-07,23133758.61,25037533.70,-7.60,Decline
2023-08,24826595.52,23133758.61,7.32,Growth
2023-09,23674783.09,24826595.52,-4.64,Decline
2023-10,24029139.32,23674783.09,1.50,Growth
2023-11,22521449.76,24029139.32,-6.27,Decline
2023-12,23829584.76,22521449.76,5.81,Growth
2024-01,23437428.61,23829584.76,-1.65,Decline
2024-02,22537910.37,23437428.61,-3.84,Decline
2024-03,22892160.01,22537910.37,1.57,Growth
2024-04,23516859.55,22892160.01,2.73,Growth
2024-05,5431298.49,23516859.55,-76.90,Decline
